,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,external_gene_name
ENSMUSG00000038188,41.4962580843687,2.02250323825636,0.422525664369654,4.7866991494437,1.69546694192284e-06,0.000107295846225882,Scarf1
ENSMUSG00000031533,931.215843029559,-0.752753814845977,0.157258991192008,-4.78671400051708,1.6953415415712e-06,0.000107295846225882,Mrps31
ENSMUSG00000032359,27.3088735070403,-4.32203945253524,0.905510643316715,-4.77304102876629,1.81464804855301e-06,0.000114367449551837,Ctsh
ENSMUSG00000031609,680.252867024732,-1.5722522345133,0.329473406027913,-4.77201560352977,1.82391370108151e-06,0.000114482224062169,Sap30
ENSMUSG00000042834,133.720635722321,-3.39804643761824,0.712739269463541,-4.76758694687309,1.86445540530377e-06,0.000116284703501206,Nrep
ENSMUSG00000005699,465.173175528249,-0.773108456816735,0.162171396024015,-4.76723069401369,1.86775404895291e-06,0.000116284703501206,Pard6a
ENSMUSG00000075000,444.596062572855,0.771489819024624,0.161907086101029,4.76501577295524,1.8883887684437e-06,0.000117002243781145,Nrbf2
ENSMUSG00000037993,3494.94682252595,-0.791777994446677,0.166187528873202,-4.76436468978841,1.89449594885584e-06,0.000117002243781145,Dhx38
ENSMUSG00000018599,538.611258525221,0.509310527012695,0.107200890940165,4.75099155003265,2.02421592182495e-06,0.000124513569783297,Mief2
ENSMUSG00000031546,2947.2969397188,-0.762512933805873,0.160600123763968,-4.74789754786571,2.05542102031323e-06,0.000125929340439748,Gins4
ENSMUSG00000054619,224.865209503796,2.59274960625795,0.54648326072119,4.74442639439004,2.09097991177969e-06,0.000127599559854556,Mettl7a1
ENSMUSG00000051736,92.2813243277383,1.53978344592524,0.324743185212971,4.74154198159825,2.12097694530129e-06,0.000128918511718748,Fam229b
ENSMUSG00000048911,413.499163870632,1.17381747897902,0.247763607281814,4.73765090788287,2.16209842704689e-06,0.000130900589020185,Rnf24
ENSMUSG00000042302,761.714205531852,0.501185947984898,0.105809462065683,4.73668364057818,2.17243887048829e-06,0.000131010842942623,Ehbp1
ENSMUSG00000038816,1236.13860783822,1.42672525413043,0.301792084868472,4.72751051357835,2.27289298656433e-06,0.000136533391981977,Ctnnal1
ENSMUSG00000043090,425.806761796323,-0.877366072176899,0.185718837502996,-4.7241630626874,2.31064963659153e-06,0.000138261362301574,Zfp866
ENSMUSG00000027574,9.01174995965638,-6.18756939036886,1.31098879028971,-4.71977291964602,2.36108069699668e-06,0.000140731391311686,Nkain4
ENSMUSG00000027068,226.854474289824,1.83865486406795,0.389991165839067,4.71460644528212,2.42178375681801e-06,0.000143792241746515,Dhrs9
ENSMUSG00000038068,34.8580636124767,3.82392588156607,0.811324852192932,4.71318716692871,2.43872003531381e-06,0.000144240910396368,Rnf144b
ENSMUSG00000034006,319.465970555594,1.36935667098431,0.290772973957384,4.70936707888474,2.48487199851313e-06,0.000146407515682509,Slc66a2
ENSMUSG00000042817,8.3423397354112,-6.67104393404176,1.4168024414172,-4.70852091938016,2.49520761297745e-06,0.000146455353711325,Flt3
ENSMUSG00000034235,998.174426676835,-0.870153201512644,0.184927952547471,-4.7053633024422,2.53414261285372e-06,0.000148082175204156,Usp54
ENSMUSG00000054115,1900.14415857492,-0.451964526433513,0.0960820054959878,-4.7039455941871,2.55181274737295e-06,0.000148082175204156,Skp2
ENSMUSG00000031230,7.44921107318826,-6.51024186140238,1.3837908666449,-4.70464288956244,2.54310701850672e-06,0.000148082175204156,Fgf16
ENSMUSG00000025607,862.531470917991,0.954914607524926,0.203219278600794,4.69893709937219,2.61518976692012e-06,0.00015118942945751,Copg2
ENSMUSG00000024642,208.11199590002,-1.37834220857696,0.293839832843615,-4.69079428489372,2.72146489535659e-06,0.000156744146669639,Tle4
ENSMUSG00000031639,1021.58704401083,-2.49986975909709,0.534066782984755,-4.68081865179106,2.85731612653225e-06,0.000163954505200794,Tlr3
ENSMUSG00000022540,1067.8670493656,1.13286156782975,0.242257846758486,4.67626367107578,2.92148927408415e-06,0.000167013613594298,Rogdi
ENSMUSG00000106361,14.431200841221,-3.56959020668482,0.763901583376953,-4.67284043437226,2.97062554354801e-06,0.000169193628180301,Gm35066
ENSMUSG00000022995,1207.27122352321,1.86585353826467,0.399918635269033,4.66558288040133,3.07743419827593e-06,0.000174630195944971,Enah
ENSMUSG00000073460,39.6118151889878,1.53635256595325,0.329591486797857,4.66138425139455,3.14089694103396e-06,0.000176925689227913,Pnldc1
ENSMUSG00000003037,3273.47972656347,-0.801706060680855,0.171969362594833,-4.66191214867562,3.1328492604962e-06,0.000176925689227913,Rab8a
ENSMUSG00000090210,86.1811947599003,-1.64728045410178,0.353462109456738,-4.6604159541559,3.15570999707458e-06,0.000177111344288368,Itga10
ENSMUSG00000003808,3389.32854911706,-0.758676696042027,0.162870767195271,-4.65815142340691,3.1906149573228e-06,0.000178419188413491,Farsa
ENSMUSG00000078861,88.7580474611948,0.979202069817822,0.210906697923208,4.64282111217897,3.43683901244928e-06,0.000190800398315686,Zfp931
ENSMUSG00000031950,1606.71027905617,-0.779665757914621,0.168223904878389,-4.63469064327242,3.57471660346769e-06,0.000197740978158727,Gabarapl2
ENSMUSG00000044162,11.5951739145503,-5.35970475992253,1.15760186210843,-4.63000703036231,3.65653317696633e-06,0.000201541817904617,Tnip3
ENSMUSG00000003411,809.097334373838,1.49867149900065,0.323799952497681,4.62838702550885,3.68524813069098e-06,0.000202399091977736,Rab3b
ENSMUSG00000038291,1355.04671006464,-0.984668263889246,0.213024381552918,-4.62232659337468,3.79459976741486e-06,0.000207663185848063,Snx25
